Leto;Država;Kolesar;Ekipa;Razdalja;Čas dirke;Prednost;Hitrost zmagovalca
1981; France;Bernard Hinault;Renault–Elf–Gitane;3,753 km (2,332 mi);96:19:38;00:14:34; 38,96 
1982; France;Bernard Hinault;Renault–Elf–Gitane;3,507 km (2,179 mi);92:08:46;00:06:21; 38,06 
1983; France;Laurent Fignon#;Renault–Elf;3,809 km (2,367 mi);105:07:52;00:04:04; 36,23 
1984; France;Laurent Fignon;Renault–Elf;4,021 km (2,499 mi);112:03:40;00:10:32; 35,88 
1985; France;Bernard Hinault;La Vie Claire;4,109 km (2,553 mi);113:24:23;00:01:42; 36,23 
1986; United States;Greg LeMond;La Vie Claire;4,094 km (2,544 mi);110:35:19;00:03:10; 37,02 
1987; Ireland;Stephen Roche;Carrera Jeans–Vagabond;4,231 km (2,629 mi);115:27:42;00:00:40; 36,64 
1988; Spain;Pedro Delgado;Reynolds;3,286 km (2,042 mi);84:27:53;00:07:13; 38,90 
1989; United States;Greg LeMond;AD Renting–W-Cup–Bottecchia;3,285 km (2,041 mi);87:38:35;00:00:08; 37,48 
1990; United States;Greg LeMond;Z–Tomasso;3,504 km (2,177 mi);90:43:20;00:02:16; 38,62 
1991; Spain;Miguel Indurain;Banesto;3,914 km (2,432 mi);101:01:20;00:03:36; 38,74 
1992; Spain;Miguel Indurain;Banesto;3,983 km (2,475 mi);100:49:30;00:04:35; 39,50 
1993; Spain;Miguel Indurain;Banesto;3,714 km (2,308 mi);95:57:09;00:04:59; 38,71 
1994; Spain;Miguel Indurain;Banesto;3,978 km (2,472 mi);103:38:38;00:05:39; 38,38 
1995; Spain;Miguel Indurain;Banesto;3,635 km (2,259 mi);92:44:59;00:04:35; 39,19 
1996; Denmark;Bjarne Riis[A];Team Telekom;3,765 km (2,339 mi);95:57:16;00:01:41; 39,24 
1997; Germany;Jan Ullrich#;Team Telekom;3,950 km (2,450 mi);100:30:35;00:09:09; 39,30 
1998; Italy;Marco Pantani;Mercatone Uno–Bianchi;3,875 km (2,408 mi);92:49:46;00:03:21; 41,74 
1999; United States;Lance Armstrong;U.S. Postal Service;3,687 km (2,291 mi);91:32:16;00:07:37; 40,28 
2000; United States;Lance Armstrong;U.S. Postal Service;3,662 km (2,275 mi);92:33:08;00:06:02; 39,57 
2001; United States;Lance Armstrong;U.S. Postal Service;3,458 km (2,149 mi);86:17:28;00:06:44; 40,07 
2002; United States;Lance Armstrong;U.S. Postal Service;3,272 km (2,033 mi);82:05:12;00:07:17; 39,86 
2003; United States;Lance Armstrong;U.S. Postal Service;3,427 km (2,129 mi);83:41:12;00:01:01; 40,95 
2004; United States;Lance Armstrong;U.S. Postal Service;3,391 km (2,107 mi);83:36:02;00:06:19; 40,56 
2005; United States;Lance Armstrong;Discovery Channel;3,593 km (2,233 mi);86:15:02;00:04:40; 41,66 
2006; Spain;Floyd Landis Óscar Pereiro[C];Caisse d'Epargne–Illes Balears;3,657 km (2,272 mi);89:40:27;00:00:32; 40,78 
2007; Spain;Alberto Contador#;Discovery Channel;3,570 km (2,220 mi);91:00:26;00:00:23; 39,23 
2008; Spain;Carlos Sastre*;Team CSC;3,559 km (2,211 mi);87:52:52;00:00:58; 40,50 
2009; Spain;Alberto Contador;Astana;3,459 km (2,149 mi);85:48:35;00:04:11; 40,31 
2010; Luxembourg;Alberto Contador Andy Schleck#[D];Team Saxo Bank;3,642 km (2,263 mi);91:59:27;00:01:22; 39,59 
2011; Australia;Cadel Evans;BMC Racing Team;3,430 km (2,130 mi);86:12:22;00:01:34; 39,79 
2012; Great Britain;Bradley Wiggins;Team Sky;3,496 km (2,172 mi);87:34:47;00:03:21; 39,92 
2013; Great Britain;Chris Froome;Team Sky;3,404 km (2,115 mi);83:56:20;00:04:20; 40,55 
2014; Italy;Vincenzo Nibali;Astana;3,660.5 km (2,274.5 mi);89:59:06;00:07:37; 40,67 
2015; Great Britain;Chris Froome*;Team Sky;3,360.3 km (2,088.0 mi);84:46:14;00:01:12; 39,64 
2016; Great Britain;Chris Froome;Team Sky;3,529 km (2,193 mi);89:04:48;00:04:05; 39,62 
2017; Great Britain;Chris Froome;Team Sky;3,540 km (2,200 mi);86:20:55;00:00:54; 41,00 
2018; Great Britain;Geraint Thomas;Team Sky;3,349 km (2,081 mi);83:17:13;00:01:51; 40,21 
